start	end	type
AT1G23800	cpd:C00084;AT1G23800	type2
cpd:C00084	cpd:C00084;AT1G23800	type3
cpd:C00084;AT1G23800	cpd:C00033	type4
AT1G44170	cpd:C00084;AT1G44170	type2
cpd:C00084	cpd:C00084;AT1G44170	type3
cpd:C00084;AT1G44170	cpd:C00033	type4
AT1G54100	cpd:C00084;AT1G54100	type2
cpd:C00084	cpd:C00084;AT1G54100	type3
cpd:C00084;AT1G54100	cpd:C00033	type4
AT3G48000	cpd:C00084;AT3G48000	type2
cpd:C00084	cpd:C00084;AT3G48000	type3
cpd:C00084;AT3G48000	cpd:C00033	type4
AT4G34240	cpd:C00084;AT4G34240	type2
cpd:C00084	cpd:C00084;AT4G34240	type3
cpd:C00084;AT4G34240	cpd:C00033	type4
AT4G36250	cpd:C00084;AT4G36250	type2
cpd:C00084	cpd:C00084;AT4G36250	type3
cpd:C00084;AT4G36250	cpd:C00033	type4
AT1G23800	cpd:C00033;AT1G23800	type2
cpd:C00033	cpd:C00033;AT1G23800	type3
cpd:C00033;AT1G23800	cpd:C00084	type4
AT1G44170	cpd:C00033;AT1G44170	type2
cpd:C00033	cpd:C00033;AT1G44170	type3
cpd:C00033;AT1G44170	cpd:C00084	type4
AT1G54100	cpd:C00033;AT1G54100	type2
cpd:C00033	cpd:C00033;AT1G54100	type3
cpd:C00033;AT1G54100	cpd:C00084	type4
AT3G48000	cpd:C00033;AT3G48000	type2
cpd:C00033	cpd:C00033;AT3G48000	type3
cpd:C00033;AT3G48000	cpd:C00084	type4
AT4G34240	cpd:C00033;AT4G34240	type2
cpd:C00033	cpd:C00033;AT4G34240	type3
cpd:C00033;AT4G34240	cpd:C00084	type4
AT4G36250	cpd:C00033;AT4G36250	type2
cpd:C00033	cpd:C00033;AT4G36250	type3
cpd:C00033;AT4G36250	cpd:C00084	type4
AT4G33070	cpd:C05125;AT4G33070	type2
cpd:C05125	cpd:C05125;AT4G33070	type3
cpd:C05125;AT4G33070	cpd:C00084	type4
AT5G01320	cpd:C05125;AT5G01320	type2
cpd:C05125	cpd:C05125;AT5G01320	type3
cpd:C05125;AT5G01320	cpd:C00084	type4
AT5G01330	cpd:C05125;AT5G01330	type2
cpd:C05125	cpd:C05125;AT5G01330	type3
cpd:C05125;AT5G01330	cpd:C00084	type4
AT5G54960	cpd:C05125;AT5G54960	type2
cpd:C05125	cpd:C05125;AT5G54960	type3
cpd:C05125;AT5G54960	cpd:C00084	type4
AT4G33070	cpd:C00084;AT4G33070	type2
cpd:C00084	cpd:C00084;AT4G33070	type3
cpd:C00084;AT4G33070	cpd:C05125	type4
AT5G01320	cpd:C00084;AT5G01320	type2
cpd:C00084	cpd:C00084;AT5G01320	type3
cpd:C00084;AT5G01320	cpd:C05125	type4
AT5G01330	cpd:C00084;AT5G01330	type2
cpd:C00084	cpd:C00084;AT5G01330	type3
cpd:C00084;AT5G01330	cpd:C05125	type4
AT5G54960	cpd:C00084;AT5G54960	type2
cpd:C00084	cpd:C00084;AT5G54960	type3
cpd:C00084;AT5G54960	cpd:C05125	type4
AT2G37790	cpd:C00469;AT2G37790	type2
cpd:C00469	cpd:C00469;AT2G37790	type3
cpd:C00469;AT2G37790	cpd:C00084	type4
AT5G01670	cpd:C00469;AT5G01670	type2
cpd:C00469	cpd:C00469;AT5G01670	type3
cpd:C00469;AT5G01670	cpd:C00084	type4
AT2G37790	cpd:C00084;AT2G37790	type2
cpd:C00084	cpd:C00084;AT2G37790	type3
cpd:C00084;AT2G37790	cpd:C00469	type4
AT5G01670	cpd:C00084;AT5G01670	type2
cpd:C00084	cpd:C00084;AT5G01670	type3
cpd:C00084;AT5G01670	cpd:C00469	type4
AT1G01090	cpd:C00022;cpd:C00068;AT1G01090	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT1G01090	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT1G01090	type3
cpd:C00022;cpd:C00068;AT1G01090	cpd:C05125	type4
AT1G24180	cpd:C00022;cpd:C00068;AT1G24180	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT1G24180	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT1G24180	type3
cpd:C00022;cpd:C00068;AT1G24180	cpd:C05125	type4
AT1G30120	cpd:C00022;cpd:C00068;AT1G30120	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT1G30120	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT1G30120	type3
cpd:C00022;cpd:C00068;AT1G30120	cpd:C05125	type4
AT1G59900	cpd:C00022;cpd:C00068;AT1G59900	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT1G59900	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT1G59900	type3
cpd:C00022;cpd:C00068;AT1G59900	cpd:C05125	type4
AT2G34590	cpd:C00022;cpd:C00068;AT2G34590	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT2G34590	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT2G34590	type3
cpd:C00022;cpd:C00068;AT2G34590	cpd:C05125	type4
AT5G50850	cpd:C00022;cpd:C00068;AT5G50850	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G50850	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G50850	type3
cpd:C00022;cpd:C00068;AT5G50850	cpd:C05125	type4
AT2G31810	cpd:C00022;cpd:C00068;AT2G31810	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT2G31810	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT2G31810	type3
cpd:C00022;cpd:C00068;AT2G31810	cpd:C05125	type4
AT3G48560	cpd:C00022;cpd:C00068;AT3G48560	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT3G48560	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT3G48560	type3
cpd:C00022;cpd:C00068;AT3G48560	cpd:C05125	type4
AT5G16290	cpd:C00022;cpd:C00068;AT5G16290	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G16290	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G16290	type3
cpd:C00022;cpd:C00068;AT5G16290	cpd:C05125	type4
AT4G33070	cpd:C00022;cpd:C00068;AT4G33070	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT4G33070	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT4G33070	type3
cpd:C00022;cpd:C00068;AT4G33070	cpd:C05125	type4
AT5G01320	cpd:C00022;cpd:C00068;AT5G01320	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G01320	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G01320	type3
cpd:C00022;cpd:C00068;AT5G01320	cpd:C05125	type4
AT5G01330	cpd:C00022;cpd:C00068;AT5G01330	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G01330	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G01330	type3
cpd:C00022;cpd:C00068;AT5G01330	cpd:C05125	type4
AT5G54960	cpd:C00022;cpd:C00068;AT5G54960	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G54960	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G54960	type3
cpd:C00022;cpd:C00068;AT5G54960	cpd:C05125	type4
AT1G01090	cpd:C05125;cpd:C15972;AT1G01090	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G01090	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G01090	type3
cpd:C05125;cpd:C15972;AT1G01090	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G01090	cpd:C16255	type4
AT1G24180	cpd:C05125;cpd:C15972;AT1G24180	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G24180	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G24180	type3
cpd:C05125;cpd:C15972;AT1G24180	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G24180	cpd:C16255	type4
AT1G30120	cpd:C05125;cpd:C15972;AT1G30120	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G30120	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G30120	type3
cpd:C05125;cpd:C15972;AT1G30120	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G30120	cpd:C16255	type4
AT1G59900	cpd:C05125;cpd:C15972;AT1G59900	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G59900	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G59900	type3
cpd:C05125;cpd:C15972;AT1G59900	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G59900	cpd:C16255	type4
AT2G34590	cpd:C05125;cpd:C15972;AT2G34590	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT2G34590	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT2G34590	type3
cpd:C05125;cpd:C15972;AT2G34590	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT2G34590	cpd:C16255	type4
AT5G50850	cpd:C05125;cpd:C15972;AT5G50850	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT5G50850	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT5G50850	type3
cpd:C05125;cpd:C15972;AT5G50850	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT5G50850	cpd:C16255	type4
AT1G34430	cpd:C00024;cpd:C15973;AT1G34430	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT1G34430	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT1G34430	type3
cpd:C00024;cpd:C15973;AT1G34430	cpd:C16255	type4
AT1G54220	cpd:C00024;cpd:C15973;AT1G54220	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT1G54220	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT1G54220	type3
cpd:C00024;cpd:C15973;AT1G54220	cpd:C16255	type4
AT3G13930	cpd:C00024;cpd:C15973;AT3G13930	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT3G13930	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT3G13930	type3
cpd:C00024;cpd:C15973;AT3G13930	cpd:C16255	type4
AT3G25860	cpd:C00024;cpd:C15973;AT3G25860	type2
