start	end	type
217	cpd:C00084;217	type2
cpd:C00084	cpd:C00084;217	type3
cpd:C00084;217	cpd:C00033	type4
219	cpd:C00084;219	type2
cpd:C00084	cpd:C00084;219	type3
cpd:C00084;219	cpd:C00033	type4
223	cpd:C00084;223	type2
cpd:C00084	cpd:C00084;223	type3
cpd:C00084;223	cpd:C00033	type4
224	cpd:C00084;224	type2
cpd:C00084	cpd:C00084;224	type3
cpd:C00084;224	cpd:C00033	type4
501	cpd:C00084;501	type2
cpd:C00084	cpd:C00084;501	type3
cpd:C00084;501	cpd:C00033	type4
218	cpd:C00084;218	type2
cpd:C00084	cpd:C00084;218	type3
cpd:C00084;218	cpd:C00033	type4
221	cpd:C00084;221	type2
cpd:C00084	cpd:C00084;221	type3
cpd:C00084;221	cpd:C00033	type4
222	cpd:C00084;222	type2
cpd:C00084	cpd:C00084;222	type3
cpd:C00084;222	cpd:C00033	type4
217	cpd:C00033;217	type2
cpd:C00033	cpd:C00033;217	type3
cpd:C00033;217	cpd:C00084	type4
219	cpd:C00033;219	type2
cpd:C00033	cpd:C00033;219	type3
cpd:C00033;219	cpd:C00084	type4
223	cpd:C00033;223	type2
cpd:C00033	cpd:C00033;223	type3
cpd:C00033;223	cpd:C00084	type4
224	cpd:C00033;224	type2
cpd:C00033	cpd:C00033;224	type3
cpd:C00033;224	cpd:C00084	type4
501	cpd:C00033;501	type2
cpd:C00033	cpd:C00033;501	type3
cpd:C00033;501	cpd:C00084	type4
218	cpd:C00033;218	type2
cpd:C00033	cpd:C00033;218	type3
cpd:C00033;218	cpd:C00084	type4
221	cpd:C00033;221	type2
cpd:C00033	cpd:C00033;221	type3
cpd:C00033;221	cpd:C00084	type4
222	cpd:C00033;222	type2
cpd:C00033	cpd:C00033;222	type3
cpd:C00033;222	cpd:C00084	type4
NA	cpd:C00084;NA	type2
cpd:C00084	cpd:C00084;NA	type3
cpd:C00084;NA	cpd:C00033	type4
218	cpd:C00084;218	type2
cpd:C00084	cpd:C00084;218	type3
cpd:C00084;218	cpd:C00033	type4
221	cpd:C00084;221	type2
cpd:C00084	cpd:C00084;221	type3
cpd:C00084;221	cpd:C00033	type4
222	cpd:C00084;222	type2
cpd:C00084	cpd:C00084;222	type3
cpd:C00084;222	cpd:C00033	type4
NA	cpd:C00033;NA	type2
cpd:C00033	cpd:C00033;NA	type3
cpd:C00033;NA	cpd:C00084	type4
218	cpd:C00033;218	type2
cpd:C00033	cpd:C00033;218	type3
cpd:C00033;218	cpd:C00084	type4
221	cpd:C00033;221	type2
cpd:C00033	cpd:C00033;221	type3
cpd:C00033;221	cpd:C00084	type4
222	cpd:C00033;222	type2
cpd:C00033	cpd:C00033;222	type3
cpd:C00033;222	cpd:C00084	type4
10327	cpd:C00469;10327	type2
cpd:C00469	cpd:C00469;10327	type3
cpd:C00469;10327	cpd:C00084	type4
10327	cpd:C00084;10327	type2
cpd:C00084	cpd:C00084;10327	type3
cpd:C00084;10327	cpd:C00469	type4
5160	cpd:C00022;cpd:C00068;5160	type2
cpd:C00022	cpd:C00022;cpd:C00068;5160	type3
cpd:C00068	cpd:C00022;cpd:C00068;5160	type3
cpd:C00022;cpd:C00068;5160	cpd:C05125	type4
5161	cpd:C00022;cpd:C00068;5161	type2
cpd:C00022	cpd:C00022;cpd:C00068;5161	type3
cpd:C00068	cpd:C00022;cpd:C00068;5161	type3
cpd:C00022;cpd:C00068;5161	cpd:C05125	type4
5162	cpd:C00022;cpd:C00068;5162	type2
cpd:C00022	cpd:C00022;cpd:C00068;5162	type3
cpd:C00068	cpd:C00022;cpd:C00068;5162	type3
cpd:C00022;cpd:C00068;5162	cpd:C05125	type4
5160	cpd:C05125;cpd:C15972;5160	type2
cpd:C05125	cpd:C05125;cpd:C15972;5160	type3
cpd:C15972	cpd:C05125;cpd:C15972;5160	type3
cpd:C05125;cpd:C15972;5160	cpd:C00068	type4
cpd:C05125;cpd:C15972;5160	cpd:C16255	type4
5161	cpd:C05125;cpd:C15972;5161	type2
cpd:C05125	cpd:C05125;cpd:C15972;5161	type3
cpd:C15972	cpd:C05125;cpd:C15972;5161	type3
cpd:C05125;cpd:C15972;5161	cpd:C00068	type4
cpd:C05125;cpd:C15972;5161	cpd:C16255	type4
5162	cpd:C05125;cpd:C15972;5162	type2
cpd:C05125	cpd:C05125;cpd:C15972;5162	type3
cpd:C15972	cpd:C05125;cpd:C15972;5162	type3
cpd:C05125;cpd:C15972;5162	cpd:C00068	type4
cpd:C05125;cpd:C15972;5162	cpd:C16255	type4
1737	cpd:C00024;cpd:C15973;1737	type2
cpd:C00024	cpd:C00024;cpd:C15973;1737	type3
cpd:C15973	cpd:C00024;cpd:C15973;1737	type3
cpd:C00024;cpd:C15973;1737	cpd:C16255	type4
1737	cpd:C16255;1737	type2
cpd:C16255	cpd:C16255;1737	type3
cpd:C16255;1737	cpd:C00024	type4
cpd:C16255;1737	cpd:C15973	type4
160287	cpd:C00186;160287	type2
cpd:C00186	cpd:C00186;160287	type3
cpd:C00186;160287	cpd:C00022	type4
3939	cpd:C00186;3939	type2
cpd:C00186	cpd:C00186;3939	type3
cpd:C00186;3939	cpd:C00022	type4
3945	cpd:C00186;3945	type2
cpd:C00186	cpd:C00186;3945	type3
cpd:C00186;3945	cpd:C00022	type4
3948	cpd:C00186;3948	type2
cpd:C00186	cpd:C00186;3948	type3
cpd:C00186;3948	cpd:C00022	type4
92483	cpd:C00186;92483	type2
cpd:C00186	cpd:C00186;92483	type3
cpd:C00186;92483	cpd:C00022	type4
160287	cpd:C00022;160287	type2
cpd:C00022	cpd:C00022;160287	type3
cpd:C00022;160287	cpd:C00186	type4
3939	cpd:C00022;3939	type2
cpd:C00022	cpd:C00022;3939	type3
cpd:C00022;3939	cpd:C00186	type4
3945	cpd:C00022;3945	type2
cpd:C00022	cpd:C00022;3945	type3
cpd:C00022;3945	cpd:C00186	type4
3948	cpd:C00022;3948	type2
cpd:C00022	cpd:C00022;3948	type3
cpd:C00022;3948	cpd:C00186	type4
92483	cpd:C00022;92483	type2
cpd:C00022	cpd:C00022;92483	type3
cpd:C00022;92483	cpd:C00186	type4
5313	cpd:C00074;5313	type2
cpd:C00074	cpd:C00074;5313	type3
cpd:C00074;5313	cpd:C00022	type4
5315	cpd:C00074;5315	type2
cpd:C00074	cpd:C00074;5315	type3
cpd:C00074;5315	cpd:C00022	type4
2023	cpd:C00631;2023	type2
cpd:C00631	cpd:C00631;2023	type3
cpd:C00631;2023	cpd:C00074	type4
2026	cpd:C00631;2026	type2
cpd:C00631	cpd:C00631;2026	type3
cpd:C00631;2026	cpd:C00074	type4
2027	cpd:C00631;2027	type2
cpd:C00631	cpd:C00631;2027	type3
cpd:C00631;2027	cpd:C00074	type4
387712	cpd:C00631;387712	type2
cpd:C00631	cpd:C00631;387712	type3
cpd:C00631;387712	cpd:C00074	type4
2023	cpd:C00074;2023	type2
cpd:C00074	cpd:C00074;2023	type3
cpd:C00074;2023	cpd:C00631	type4
2026	cpd:C00074;2026	type2
cpd:C00074	cpd:C00074;2026	type3
cpd:C00074;2026	cpd:C00631	type4
2027	cpd:C00074;2027	type2
cpd:C00074	cpd:C00074;2027	type3
cpd:C00074;2027	cpd:C00631	type4
387712	cpd:C00074;387712	type2
cpd:C00074	cpd:C00074;387712	type3
cpd:C00074;387712	cpd:C00631	type4
441531	cpd:C00631;441531	type2
cpd:C00631	cpd:C00631;441531	type3
cpd:C00631;441531	cpd:C00197	type4
5223	cpd:C00631;5223	type2
cpd:C00631	cpd:C00631;5223	type3
cpd:C00631;5223	cpd:C00197	type4
5224	cpd:C00631;5224	type2
cpd:C00631	cpd:C00631;5224	type3
cpd:C00631;5224	cpd:C00197	type4
669	cpd:C00631;669	type2
cpd:C00631	cpd:C00631;669	type3
cpd:C00631;669	cpd:C00197	type4
441531	cpd:C00197;441531	type2
cpd:C00197	cpd:C00197;441531	type3
cpd:C00197;441531	cpd:C00631	type4
5223	cpd:C00197;5223	type2
cpd:C00197	cpd:C00197;5223	type3
cpd:C00197;5223	cpd:C00631	type4
5224	cpd:C00197;5224	type2
cpd:C00197	cpd:C00197;5224	type3
cpd:C00197;5224	cpd:C00631	type4
669	cpd:C00197;669	type2
cpd:C00197	cpd:C00197;669	type3
cpd:C00197;669	cpd:C00631	type4
2597	cpd:C00118;2597	type2
cpd:C00118	cpd:C00118;2597	type3
cpd:C00118;2597	cpd:C00236	type4
26330	cpd:C00118;26330	type2
cpd:C00118	cpd:C00118;26330	type3
cpd:C00118;26330	cpd:C00236	type4
2597	cpd:C00236;2597	type2
cpd:C00236	cpd:C00236;2597	type3
cpd:C00236;2597	cpd:C00118	type4
26330	cpd:C00236;26330	type2
cpd:C00236	cpd:C00236;26330	type3
cpd:C00236;26330	cpd:C00118	type4
7167	cpd:C00118;7167	type2
cpd:C00118	cpd:C00118;7167	type3
cpd:C00118;7167	cpd:C00111	type4
7167	cpd:C00111;7167	type2
cpd:C00111	cpd:C00111;7167	type3
cpd:C00111;7167	cpd:C00118	type4
226	cpd:C05378;226	type2
cpd:C05378	cpd:C05378;226	type3
cpd:C05378;226	cpd:C00111	type4
cpd:C05378;226	cpd:C00118	type4
229	cpd:C05378;229	type2
cpd:C05378	cpd:C05378;229	type3
cpd:C05378;229	cpd:C00111	type4
cpd:C05378;229	cpd:C00118	type4
230	cpd:C05378;230	type2
cpd:C05378	cpd:C05378;230	type3
cpd:C05378;230	cpd:C00111	type4
cpd:C05378;230	cpd:C00118	type4
