start	end	type
110695	cpd:C00084;110695	type2
cpd:C00084	cpd:C00084;110695	type3
cpd:C00084;110695	cpd:C00033	type4
11669	cpd:C00084;11669	type2
cpd:C00084	cpd:C00084;11669	type3
cpd:C00084;11669	cpd:C00033	type4
11671	cpd:C00084;11671	type2
cpd:C00084	cpd:C00084;11671	type3
cpd:C00084;11671	cpd:C00033	type4
56752	cpd:C00084;56752	type2
cpd:C00084	cpd:C00084;56752	type3
cpd:C00084;56752	cpd:C00033	type4
72535	cpd:C00084;72535	type2
cpd:C00084	cpd:C00084;72535	type3
cpd:C00084;72535	cpd:C00033	type4
11670	cpd:C00084;11670	type2
cpd:C00084	cpd:C00084;11670	type3
cpd:C00084;11670	cpd:C00033	type4
621603	cpd:C00084;621603	type2
cpd:C00084	cpd:C00084;621603	type3
cpd:C00084;621603	cpd:C00033	type4
67689	cpd:C00084;67689	type2
cpd:C00084	cpd:C00084;67689	type3
cpd:C00084;67689	cpd:C00033	type4
73458	cpd:C00084;73458	type2
cpd:C00084	cpd:C00084;73458	type3
cpd:C00084;73458	cpd:C00033	type4
110695	cpd:C00033;110695	type2
cpd:C00033	cpd:C00033;110695	type3
cpd:C00033;110695	cpd:C00084	type4
11669	cpd:C00033;11669	type2
cpd:C00033	cpd:C00033;11669	type3
cpd:C00033;11669	cpd:C00084	type4
11671	cpd:C00033;11671	type2
cpd:C00033	cpd:C00033;11671	type3
cpd:C00033;11671	cpd:C00084	type4
56752	cpd:C00033;56752	type2
cpd:C00033	cpd:C00033;56752	type3
cpd:C00033;56752	cpd:C00084	type4
72535	cpd:C00033;72535	type2
cpd:C00033	cpd:C00033;72535	type3
cpd:C00033;72535	cpd:C00084	type4
11670	cpd:C00033;11670	type2
cpd:C00033	cpd:C00033;11670	type3
cpd:C00033;11670	cpd:C00084	type4
621603	cpd:C00033;621603	type2
cpd:C00033	cpd:C00033;621603	type3
cpd:C00033;621603	cpd:C00084	type4
67689	cpd:C00033;67689	type2
cpd:C00033	cpd:C00033;67689	type3
cpd:C00033;67689	cpd:C00084	type4
73458	cpd:C00033;73458	type2
cpd:C00033	cpd:C00033;73458	type3
cpd:C00033;73458	cpd:C00084	type4
NA	cpd:C00084;NA	type2
cpd:C00084	cpd:C00084;NA	type3
cpd:C00084;NA	cpd:C00033	type4
11670	cpd:C00084;11670	type2
cpd:C00084	cpd:C00084;11670	type3
cpd:C00084;11670	cpd:C00033	type4
621603	cpd:C00084;621603	type2
cpd:C00084	cpd:C00084;621603	type3
cpd:C00084;621603	cpd:C00033	type4
67689	cpd:C00084;67689	type2
cpd:C00084	cpd:C00084;67689	type3
cpd:C00084;67689	cpd:C00033	type4
73458	cpd:C00084;73458	type2
cpd:C00084	cpd:C00084;73458	type3
cpd:C00084;73458	cpd:C00033	type4
NA	cpd:C00033;NA	type2
cpd:C00033	cpd:C00033;NA	type3
cpd:C00033;NA	cpd:C00084	type4
11670	cpd:C00033;11670	type2
cpd:C00033	cpd:C00033;11670	type3
cpd:C00033;11670	cpd:C00084	type4
621603	cpd:C00033;621603	type2
cpd:C00033	cpd:C00033;621603	type3
cpd:C00033;621603	cpd:C00084	type4
67689	cpd:C00033;67689	type2
cpd:C00033	cpd:C00033;67689	type3
cpd:C00033;67689	cpd:C00084	type4
73458	cpd:C00033;73458	type2
cpd:C00033	cpd:C00033;73458	type3
cpd:C00033;73458	cpd:C00084	type4
58810	cpd:C00469;58810	type2
cpd:C00469	cpd:C00469;58810	type3
cpd:C00469;58810	cpd:C00084	type4
58810	cpd:C00084;58810	type2
cpd:C00084	cpd:C00084;58810	type3
cpd:C00084;58810	cpd:C00469	type4
18597	cpd:C00022;cpd:C00068;18597	type2
cpd:C00022	cpd:C00022;cpd:C00068;18597	type3
cpd:C00068	cpd:C00022;cpd:C00068;18597	type3
cpd:C00022;cpd:C00068;18597	cpd:C05125	type4
18598	cpd:C00022;cpd:C00068;18598	type2
cpd:C00022	cpd:C00022;cpd:C00068;18598	type3
cpd:C00068	cpd:C00022;cpd:C00068;18598	type3
cpd:C00022;cpd:C00068;18598	cpd:C05125	type4
68263	cpd:C00022;cpd:C00068;68263	type2
cpd:C00022	cpd:C00022;cpd:C00068;68263	type3
cpd:C00068	cpd:C00022;cpd:C00068;68263	type3
cpd:C00022;cpd:C00068;68263	cpd:C05125	type4
18597	cpd:C05125;cpd:C15972;18597	type2
cpd:C05125	cpd:C05125;cpd:C15972;18597	type3
cpd:C15972	cpd:C05125;cpd:C15972;18597	type3
cpd:C05125;cpd:C15972;18597	cpd:C00068	type4
cpd:C05125;cpd:C15972;18597	cpd:C16255	type4
18598	cpd:C05125;cpd:C15972;18598	type2
cpd:C05125	cpd:C05125;cpd:C15972;18598	type3
cpd:C15972	cpd:C05125;cpd:C15972;18598	type3
cpd:C05125;cpd:C15972;18598	cpd:C00068	type4
cpd:C05125;cpd:C15972;18598	cpd:C16255	type4
68263	cpd:C05125;cpd:C15972;68263	type2
cpd:C05125	cpd:C05125;cpd:C15972;68263	type3
cpd:C15972	cpd:C05125;cpd:C15972;68263	type3
cpd:C05125;cpd:C15972;68263	cpd:C00068	type4
cpd:C05125;cpd:C15972;68263	cpd:C16255	type4
235339	cpd:C00024;cpd:C15973;235339	type2
cpd:C00024	cpd:C00024;cpd:C15973;235339	type3
cpd:C15973	cpd:C00024;cpd:C15973;235339	type3
cpd:C00024;cpd:C15973;235339	cpd:C16255	type4
235339	cpd:C16255;235339	type2
cpd:C16255	cpd:C16255;235339	type3
cpd:C16255;235339	cpd:C00024	type4
cpd:C16255;235339	cpd:C15973	type4
106557	cpd:C00186;106557	type2
cpd:C00186	cpd:C00186;106557	type3
cpd:C00186;106557	cpd:C00022	type4
16828	cpd:C00186;16828	type2
cpd:C00186	cpd:C00186;16828	type3
cpd:C00186;16828	cpd:C00022	type4
16832	cpd:C00186;16832	type2
cpd:C00186	cpd:C00186;16832	type3
cpd:C00186;16832	cpd:C00022	type4
16833	cpd:C00186;16833	type2
cpd:C00186	cpd:C00186;16833	type3
cpd:C00186;16833	cpd:C00022	type4
106557	cpd:C00022;106557	type2
cpd:C00022	cpd:C00022;106557	type3
cpd:C00022;106557	cpd:C00186	type4
16828	cpd:C00022;16828	type2
cpd:C00022	cpd:C00022;16828	type3
cpd:C00022;16828	cpd:C00186	type4
16832	cpd:C00022;16832	type2
cpd:C00022	cpd:C00022;16832	type3
cpd:C00022;16832	cpd:C00186	type4
16833	cpd:C00022;16833	type2
cpd:C00022	cpd:C00022;16833	type3
cpd:C00022;16833	cpd:C00186	type4
18746	cpd:C00074;18746	type2
cpd:C00074	cpd:C00074;18746	type3
cpd:C00074;18746	cpd:C00022	type4
18770	cpd:C00074;18770	type2
cpd:C00074	cpd:C00074;18770	type3
cpd:C00074;18770	cpd:C00022	type4
13806	cpd:C00631;13806	type2
cpd:C00631	cpd:C00631;13806	type3
cpd:C00631;13806	cpd:C00074	type4
13807	cpd:C00631;13807	type2
cpd:C00631	cpd:C00631;13807	type3
cpd:C00631;13807	cpd:C00074	type4
13808	cpd:C00631;13808	type2
cpd:C00631	cpd:C00631;13808	type3
cpd:C00631;13808	cpd:C00074	type4
226265	cpd:C00631;226265	type2
cpd:C00631	cpd:C00631;226265	type3
cpd:C00631;226265	cpd:C00074	type4
433182	cpd:C00631;433182	type2
cpd:C00631	cpd:C00631;433182	type3
cpd:C00631;433182	cpd:C00074	type4
13806	cpd:C00074;13806	type2
cpd:C00074	cpd:C00074;13806	type3
cpd:C00074;13806	cpd:C00631	type4
13807	cpd:C00074;13807	type2
cpd:C00074	cpd:C00074;13807	type3
cpd:C00074;13807	cpd:C00631	type4
13808	cpd:C00074;13808	type2
cpd:C00074	cpd:C00074;13808	type3
cpd:C00074;13808	cpd:C00631	type4
226265	cpd:C00074;226265	type2
cpd:C00074	cpd:C00074;226265	type3
