start	end	type
4330146	cpd:C00084;4330146	type2
cpd:C00084	cpd:C00084;4330146	type3
cpd:C00084;4330146	cpd:C00033	type4
4330149	cpd:C00084;4330149	type2
cpd:C00084	cpd:C00084;4330149	type3
cpd:C00084;4330149	cpd:C00033	type4
4330612	cpd:C00084;4330612	type2
cpd:C00084	cpd:C00084;4330612	type3
cpd:C00084;4330612	cpd:C00033	type4
4336538	cpd:C00084;4336538	type2
cpd:C00084	cpd:C00084;4336538	type3
cpd:C00084;4336538	cpd:C00033	type4
4340725	cpd:C00084;4340725	type2
cpd:C00084	cpd:C00084;4340725	type3
cpd:C00084;4340725	cpd:C00033	type4
4347172	cpd:C00084;4347172	type2
cpd:C00084	cpd:C00084;4347172	type3
cpd:C00084;4347172	cpd:C00033	type4
4349966	cpd:C00084;4349966	type2
cpd:C00084	cpd:C00084;4349966	type3
cpd:C00084;4349966	cpd:C00033	type4
9271186	cpd:C00084;9271186	type2
cpd:C00084	cpd:C00084;9271186	type3
cpd:C00084;9271186	cpd:C00033	type4
4330146	cpd:C00033;4330146	type2
cpd:C00033	cpd:C00033;4330146	type3
cpd:C00033;4330146	cpd:C00084	type4
4330149	cpd:C00033;4330149	type2
cpd:C00033	cpd:C00033;4330149	type3
cpd:C00033;4330149	cpd:C00084	type4
4330612	cpd:C00033;4330612	type2
cpd:C00033	cpd:C00033;4330612	type3
cpd:C00033;4330612	cpd:C00084	type4
4336538	cpd:C00033;4336538	type2
cpd:C00033	cpd:C00033;4336538	type3
cpd:C00033;4336538	cpd:C00084	type4
4340725	cpd:C00033;4340725	type2
cpd:C00033	cpd:C00033;4340725	type3
cpd:C00033;4340725	cpd:C00084	type4
4347172	cpd:C00033;4347172	type2
cpd:C00033	cpd:C00033;4347172	type3
cpd:C00033;4347172	cpd:C00084	type4
4349966	cpd:C00033;4349966	type2
cpd:C00033	cpd:C00033;4349966	type3
cpd:C00033;4349966	cpd:C00084	type4
9271186	cpd:C00033;9271186	type2
cpd:C00033	cpd:C00033;9271186	type3
cpd:C00033;9271186	cpd:C00084	type4
4324066	cpd:C05125;4324066	type2
cpd:C05125	cpd:C05125;4324066	type3
cpd:C05125;4324066	cpd:C00084	type4
4332519	cpd:C05125;4332519	type2
cpd:C05125	cpd:C05125;4332519	type3
cpd:C05125;4332519	cpd:C00084	type4
4339066	cpd:C05125;4339066	type2
cpd:C05125	cpd:C05125;4339066	type3
cpd:C05125;4339066	cpd:C00084	type4
4339068	cpd:C05125;4339068	type2
cpd:C05125	cpd:C05125;4339068	type3
cpd:C05125;4339068	cpd:C00084	type4
4344382	cpd:C05125;4344382	type2
cpd:C05125	cpd:C05125;4344382	type3
cpd:C05125;4344382	cpd:C00084	type4
4324066	cpd:C00084;4324066	type2
cpd:C00084	cpd:C00084;4324066	type3
cpd:C00084;4324066	cpd:C05125	type4
4332519	cpd:C00084;4332519	type2
cpd:C00084	cpd:C00084;4332519	type3
